Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Rikishi,6,The Undertaker,13:39,1
2,Goldust,4,The Undertaker,12:52,0
3,Big Boss Man,1,Rikishi,03:05,0
4,Bradshaw,3,Billy,07:17,0
5,Lance Storm,2,Al Snow,04:46,0
6,Al Snow,5,The Undertaker,05:12,1
7,Billy,7,The Undertaker,03:37,1
8,The Undertaker,10,Maven,07:40,7
9,Matt Hardy,9,The Undertaker,04:16,0
10,Jeff Hardy,8,The Undertaker,01:30,0
11,Maven,11,The Undertaker,03:34,1
12,Scotty 2 Hotty,12,Diamond Dallas Page,02:36,0
13,Christian,16,Stone Cold Steve Austin,12:14,3
14,Diamond Dallas Page,13,Christian,05:15,1
15,Chuck,17,Stone Cold Steve Austin,09:04,2
16,The Godfather,15,Christian;Chuck,01:48,0
17,Albert,14,Christian;Chuck,00:48,0
18,Perry Saturn,18,Stone Cold Steve Austin,02:57,0
19,Stone Cold Steve Austin,27,Kurt Angle,26:46,7
20,Val Venis,19,Stone Cold Steve Austin,02:58,0
21,Test,20,(Unknown),01:42,0
22,Triple H,-,Winner,23:14,4
23,The Hurricane,21,Stone Cold Steve Austin;Triple H,00:39,0
24,Faarooq,22,Triple H,00:36,0
25,Mr. Perfect,28,Triple H,15:18,0
26,Kurt Angle,29,Triple H,16:09,2
27,>Big Show,23,Kane,02:45,0
28,Kane,24,Kurt Angle,01:02,1
29,Rob Van Dam,25,Booker T,02:12,0
30,Booker T,26,Stone Cold Steve Austin,00:33,1
