Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Cactus Jack,2,Chainsaw Charlie,09:21,1
2,Chainsaw Charlie,6,Mankind,25:19,2
3,Tom Brandi,1,Cactus Jack;Chainsaw Charlie,00:12,0
4,The Rock,28,Steve Austin,51:32,3
5,Mosh,3,Kurrgan,13:09,0
6,Phineas I. Godwinn,12,Mark Henry,28:48,1
7,8-Ball,14,Steve Austin,30:43,1
8,Blackjack Bradshaw,15,Dude Love,35:45,1
9,Owen Hart,10,Chyna and Triple H,02:00,1
10,Steve Blackman,4,Kurrgan,05:58,0
11,DLo Brown,16,Faarooq,32:21,1
12,Kurrgan,5,8-Ball;Bradshaw;Ken Shamrock;Phineas I. Godwinn;The Rock,03:38,2
13,Marc Mero,13,Steve Austin,19:38,0
14,Ken Shamrock,9,The Rock,09:15,1
15,Thrasher,18,Steve Austin,28:08,0
16,Mankind,7,Goldust,02:07,1
17,Goldust,23,Chainz,26:01,2
18,Jeff Jarrett,8,Owen Hart[3],01:05,0
19,The Honky Tonk Man,17,Vader,19:55,0
20,Ahmed Johnson,11,D'Lo Brown;Mark Henry,03:18,0
21,Mark Henry,25,Faarooq,19:07,2
22,Skull,-,Never Entered,00:00,0
23,Kama Mustafa,19,Steve Austin,13:58,0
24,Steve Austin,-,Winner,15:58,7
25,Henry O. Godwinn,22,Dude Love,11:32,0
26,Savio Vega,20,Steve Austin,09:29,0
27,Faarooq,27,The Rock,10:03,3
28,Dude Love,26,Faarooq,07:53,2
29,Chainz,24,Steve Austin,04:56,1
30,Vader,21,Goldust,02:15,1
