Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Ax,4,Mr. Perfect,14:37,0
2,Smash,1,André the Giant,04:54,0
3,André the Giant,5,André the Giant;Jake Roberts,14:55,4
4,Mr. Perfect,11,Hulk Hogan,27:58,1
5,Ronnie Garvin,2,André the Giant,02:39,0
6,Greg Valentine,8,Randy Savage,19:52,0
7,Jake Roberts,3,André the Giant,02:08,0
8,Ron Bass,7,Marty Jannetty;Shawn Michaels,12:36,0
9,Shawn Michaels,9,Arn Anderson;Randy Savage,14:30,1
10,Bushwhacker Butch,13,Hulk Hogan;Bad News Brown,18:13,1
11,The Honky Tonk Man,6,Bushwhacker Butch;Tito Santana,04:12,0
12,Tito Santana,12,Arn Anderson;Randy Savage,12:47,1
13,Bad News Brown,19,Hulk Hogan,16:24,1
14,Marty Jannetty,10,Tully Blanchard,07:52,1
15,Randy Savage,20,Hulk Hogan,12:26,3
16,Arn Anderson,16,Hulk Hogan,10:00,2
17,Tully Blanchard,17,Hulk Hogan,08:02,1
18,Hulk Hogan,21,Akeem;Big Boss Man,11:31,10
19,Bushwhacker Luke,15,Hulk Hogan,03:08,0
20,Koko B. Ware,14,Hulk Hogan,01:08,0
21,The Warlord,18,Hulk Hogan,00:02,0
22,Big Boss Man,22,Hulk Hogan,04:18,1
23,Akeem,28,Big John Studd,18:36,2
24,Brutus Beefcake,24,Ted DiBiase;The Barbarian,13:56,0
25,The Red Rooster,23,Ted DiBiase,11:17,0
26,The Barbarian,26,Rick Martel,12:15,2
27,Big John Studd,-,Winner,12:21,2
28,Hercules,25,Ted DiBiase;The Barbarian,06:11,0
29,Rick Martel,27,Akeem,05:29,1
30,Ted DiBiase,29,Big John Studd,06:27,3
