Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Shawn Michaels,-,Winner,38:41,8
2,The British Bulldog,29,Shawn Michaels,38:41,4
3,Eli Blu,9,Sione,10:00,1
4,Duke Droese,3,Shawn Michaels,08:13,0
5,Jimmy Del Ray,1,The British Bulldog,01:25,0
6,Sione,10,Eli Blu,06:50,3
7,Tom Prichard,6,Shawn Michaels,05:30,0
8,Doink the Clown,7,Kwang,04:50,0
9,Kwang,8,Sione,04:01,1
10,Rick Martel,5,Sione,02:29,0
11,Owen Hart,2,The British Bulldog,00:03,0
12,Timothy Well,4,The British Bulldog,00:23,0
13,Bushwhacker Luke,11,Shawn Michaels,00:12,0
14,Jacob Blu,12,Shawn Michaels,00:17,0
15,King Kong Bundy,14,Mabel,03:00,1
16,Mo,13,King Kong Bundy,00:03,0
17,Mabel,16,Lex Luger,01:58,1
18,Bushwhacker Butch,15,Shawn Michaels,00:19,0
19,Lex Luger,27,Crush;Shawn Michaels,18:51,4
20,Mantaur,18,Lex Luger,09:33,0
21,Aldo Montoya,23,Shawn Michaels,13:21,1
22,Henry O. Godwinn,26,Lex Luger,14:40,1
23,Billy Gunn,20,Crush;Dick Murdoch,07:25,0
24,Bart Gunn,19,Crush;Dick Murdoch,06:19,0
25,Bob Backlund,17,Lex Luger,00:16,0
26,Steven Dunn,21,Aldo Montoya,04:29,0
27,Dick Murdoch,25,Henry O. Godwinn,05:08,2
28,Adam Bomb,22,Crush,05:20,0
29,Fatu,24,Crush,05:32,0
30,Crush,28,The British Bulldog,08:51,5
