Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,DLo Brown,3,Rikishi,06:08,0
2,Grand Master Sexay,4,Rikishi,07:42,0
3,Mosh,1,Rikishi,03:37,0
4,Christian,2,Rikishi,02:08,0
5,Rikishi,8,Big Boss Man;Bob Backlund;Edge;Gangrel;Test;The British Bulldog,16:23,7
6,Scotty 2 Hotty,5,Rikishi,01:02,0
7,Steve Blackman,6,Rikishi,00:44,0
8,Viscera,7,Rikishi,01:25,0
9,Big Boss Man,15,The Rock,22:47,3
10,Test,17,Big Show,26:17,1
11,The British Bulldog,13,Road Dogg,15:22,1
12,Gangrel,18,Big Show,23:19,1
13,Edge,14,Al Snow & Val Venis,14:48,1
14,Bob Backlund,9,Chris Jericho,02:00,1
15,Chris Jericho,10,Chyna,03:47,1
16,Crash Holly,16,The Rock,14:54,0
17,Chyna,11,Big Boss Man,00:38,1
18,Faarooq,12,Big Boss Man,00:18,0
19,Road Dogg,25,Billy Gunn,19:02,2
20,Al Snow,24,The Rock,17:17,2
21,Val Venis,20,Kane,11:47,1
22,Prince Albert,21,Kane,11:23,0
23,Hardcore Holly,22,Al Snow,11:48,0
24,The Rock,-,Winner,14:47,4
25,Billy Gunn,26,Kane,09:38,2
26,Big Show,29,The Rock,11:12,4
27,Bradshaw,19,Billy Gunn;Road Dogg,00:25,0
28,Kane,27,X-Pac,06:11,3
29,The Godfather,23,Big Show,01:32,0
30,X-Pac,28,Big Show,03:32,1
