Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,The Miz,1,Bubba Ray Dudley,04:01,0
2,R-Truth,2,Bubba Ray Dudley,04:13,0
3,Bubba Ray Dudley,3,Bray Wyatt,05:22,2
4,Luke Harper,Bray Wyatt,4,03:42,0
5,Bray Wyatt,25,Big Show;Kane,47:29,7
6,Erick Rowan,5,Bray Wyatt,00:51,0
7,The Boogeyman,Bray Wyatt,6,00:47,0
8,Sin Cara,7,Bray Wyatt,00:37,0
9,Zack Ryder,Bray Wyatt,8,00:34,0
10,Daniel Bryan,Bray Wyatt,12,10:36,1
11,Fandango,11,Rusev,07:50,0
12,Tyson Kidd,9,Daniel Bryan,02:41,0
13,Stardust,16,Roman Reigns,12:49,0
14,Diamond Dallas Page,10,Rusev,02:47,0
15,Rusev,29,Roman Reigns,35:40,6
16,Goldust,15,Roman Reigns,06:35,0
17,Kofi Kingston,14,Rusev,03:04,0
18,Adam Rose,13,Rusev,00:08,0
19,Roman Reigns,-,Winner,27:29,6
20,Big E,19,Rusev,15:04,0
21,Damien Mizdow,17,(Unknown),00:18,0
22,Jack Swagger,21,Big Show,12:50,0
23,Ryback,20,Big Show and Kane,11:15,0
24,Kane,27,Roman Reigns,17:13,4
25,Dean Ambrose,26,Big Show;Kane,10:40,1
26,Titus ONeil,18,Dean Ambrose;Roman Reigns,00:04,0
27,Bad News Barrett,22,Dolph Ziggler,06:10,0
28,Cesaro,23,Dolph Ziggler,05:16,0
29,Big Show,28,Roman Reigns,08:39,5
30,Dolph Ziggler,24,Big Show;Kane,02:29,2
