Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Dolph Ziggler,27,Sheamus,49:47,2
2,Chris Jericho,25,Dolph Ziggler,47:53,2
3,Cody Rhodes,12,John Cena,27:39,4
4,Kofi Kingston,9,Cody Rhodes,22:18,2
5,Santino Marella,1,Cody Rhodes,00:55,0
6,Drew McIntyre,2,Chris Jericho,02:40,0
7,Titus ONeil,3,Sheamus,07:30,0
8,Goldust,5,Cody Rhodes,09:41,0
9,David Otunga,4,Sheamus,04:24,0
10,Heath Slater,11,John Cena,15:49,1
11,Sheamus,28,Ryback,37:23,5
12,Tensai,7,Kofi Kingston,05:37,0
13,Brodus Clay,6,Chris Jericho;Cody Rhodes;Darren Young;Heath Slater;Sheamus,03:47,0
14,Rey Mysterio,13,Wade Barrett,15:43,0
15,Darren Young,8,Kofi Kingston,02:51,1
16,Bo Dallas,21,Wade Barrett,21:42,1
17,The Godfather,10,Dolph Ziggler,00:05,0
18,Wade Barrett,20,Bo Dallas,20:34,2
19,John Cena,-,Winner,26:39,4
20,Damien Sandow,22,Ryback,16:26,0
21,Daniel Bryan,16,Antonio Cesaro;Kane,07:55,2
22,Antonio Cesaro,18,John Cena,08:50,1
23,The Great Khali,14,Daniel Bryan;Kane,03:08,0
24,Kane,15,Daniel Bryan,01:46,2
25,Zack Ryder,17,Randy Orton,02:34,0
26,Randy Orton,26,Ryback,10:20,1
27,Jinder Mahal,19,Sheamus,02:10,0
28,The Miz,24,Ryback,05:08,0
29,Sin Cara,23,Ryback,03:27,0
30,Ryback,29,John Cena,09:06,5
