Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,Chris Benoit,SmackDown,—,Winner,1:01:35,6
2,Randy Orton,Raw,19,Mick Foley,33:44,5
3,Mark Henry,Raw,3,Chris Benoit,05:14,0
4,Tajiri,SmackDown,2,Mark Henry;Rhyno,03:39,0
5,Bradshaw,SmackDown,1,Chris Benoit,00:38,0
6,Rhyno,SmackDown,8,Chris Benoit,14:00,1
7,Matt Hardy,Raw,9,René Duprée,14:18,0
8,Scott Steiner,Raw,5,Booker T,06:49,0
9,Matt Morgan,SmackDown,11,Chris Benoit,12:14,1
10,The Hurricane,Raw,4,Matt Morgan,00:19,0
11,Booker T,Raw,13,Randy Orton,09:11,2
12,Kane,Raw,6,Booker T,01:30,0
13,Spike Dudley,Raw,7,(Never entered),00:00,0
14,Rikishi,SmackDown,12,Randy Orton,03:48,1
15,René Duprée,Raw,10,Rikishi,00:33,1
16,A-Train,SmackDown,14,Chris Benoit,01:44,0
17,Shelton Benjamin,SmackDown,15,Randy Orton,00:37,0
18,Ernest Miller,SmackDown,16,Randy Orton,00:56,0
19,Kurt Angle,SmackDown,28,Big Show,29:04,1
20,Rico,Raw,17,Randy Orton,01:06,0
21,Mick Foley,Raw,18,Mick Foley,00:43,1
22,Christian,Raw,20,Chris Jericho,07:39,0
23,Nunzio,SmackDown,23,Goldberg,03:48,0
24,Big Show,SmackDown,29,Chris Benoit,22:38,4
25,Chris Jericho,Raw,27,Big Show,14:58,1
26,Charlie Haas,SmackDown,21,Goldberg,06:53,0
27,Billy Gunn,SmackDown,22,Goldberg,05:37,0
28,John Cena,SmackDown,25,Big Show,07:37,0
29,Rob Van Dam,Raw,26,Big Show,06:44,0
30,Goldberg,Raw,24,Kurt Angle,02:08,3
