Draw,Entrant,Brand,Order,Eliminated by,Time,Eliminations
1,Dolph Ziggler,SmackDown,2,CM Punk,02:29,0
2,Evan Bourne,Raw,1,CM Punk,02:26,0
3,CM Punk,SmackDown,7,Triple H,10:04,5
4,JTG,SmackDown,3,CM Punk,00:25,0
5,The Great Khali,SmackDown,4,Beth Phoenix,01:37,0
6,Beth Phoenix,SmackDown,5,CM Punk,01:39,1
7,Zack Ryder,ECW,6,CM Punk,00:32,0
8,Triple H,Raw,17,Shawn Michaels,17:55,3
9,Drew McIntyre,SmackDown,16,Shawn Michaels;Triple H,14:43,0
10,Ted DiBiase,Raw,14,Shawn Michaels,13:40,0
11,John Morrison,SmackDown,15,Shawn Michaels,11:37,0
12,Kane,SmackDown,11,Triple H,08:59,1
13,Cody Rhodes,Raw,13,Shawn Michaels,08:54,0
14,Montel Vontavious Porter,Raw,8,Montel Vontavious Porter,00:07,1
15,Carlito,Raw,12,Shawn Michaels,05:09,0
16,The Miz,Raw,9,Montel Vontavious Porter1,00:17,0
17,Matt Hardy,SmackDown,10,Kane,00:20,0
18,Shawn Michaels,Raw,27,Batista,25:45,6
19,John Cena,Raw,29,Edge,27:11,4
20,Shelton Benjamin,ECW,18,John Cena,00:48,0
21,Yoshi Tatsu,ECW,19,John Cena,00:29,0
22,Big Show,Raw,22,R-Truth,05:04,1
23,Mark Henry,Raw,21,R-Truth,03:09,0
24,Chris Masters,Raw,20,Big Show,00:29,0
25,R-Truth,SmackDown,24,Kofi Kingston,04:22,2
26,Jack Swagger,Raw,23,Kofi Kingston,02:06,0
27,Kofi Kingston,Raw,25,John Cena,03:09,2
28,Chris Jericho,SmackDown,26,Edge,02:24,0
29,Edge,SmackDown,—,Winner,07:37,2
30,Batista,SmackDown,28,John Cena,05:24,1
