Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Stone Cold Steve Austin,29,Mr. McMahon,56:38,8
2,Mr. McMahon,-,Winner,56:38,1
3,Golga,1,Stone Cold Steve Austin,00:15,0
4,Droz,7,Mabel,12:30,0
5,Edge,8,Road Dogg,11:51,1
6,Gillberg,2,Edge,00:06,0
7,Steve Blackman,4,Mabel,07:22,0
8,Dan Severn,3,Mabel,05:43,0
9,Tiger Ali Singh,5,Mabel,04:02,0
10,The Blue Meanie,6,(Unknown),02:59,0
11,Mabel,9,Bradshaw;Faarooq;Mideon,01:26,5
12,Road Dogg,12,Kane,10:41,3
13,Gangrel,10,Road Dogg,00:26,0
14,Kurrgan,13,Kane,06:54,0
15,Al Snow,11,Road Dogg,00:47,0
16,Goldust,15,Kane,04:02,0
17,The Godfather,14,Kane,01:40,0
18,Kane,16,Kane,00:53,4
19,Ken Shamrock,17,Stone Cold Steve Austin,04:50,0
20,Billy Gunn,18,Stone Cold Steve Austin,07:05,0
21,Test,19,Stone Cold Steve Austin,12:48,0
22,Big Boss Man,28,Stone Cold Steve Austin,18:53,2
23,Triple H,25,Stone Cold Steve Austin,14:21,2
24,Val Venis,24,Triple H,12:41,0
25,X-Pac,20,Big Boss Man,05:44,0
26,Mark Henry,22,Chyna,07:57,0
27,Jeff Jarrett,21,Triple H,03:39,0
28,DLo Brown,27,Big Boss Man,09:11,0
29,Owen Hart,26,Stone Cold Steve Austin,06:31,0
30,Chyna,23,Stone Cold Steve Austin,00:35,1
