Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Scott Steiner,4,Diesel,09:00,1
2,Samu,1,Scott Steiner,03:13,0
3,Rick Steiner,2,Owen Hart,03:57,0
4,Kwang,6,Diesel,05:57,0
5,Owen Hart,5,Diesel,04:10,1
6,Bart Gunn,3,Diesel,02:30,0
7,Diesel,13,Bam Bam Bigelow;Crush;Mabel;Thurman "Sparky" Plugg;Shawn Michaels,17:41,7
8,Bob Backlund,7,Diesel,00:41,0
9,Billy Gunn,8,Diesel,00:14,0
10,Virgil,9,Diesel,00:32,0
11,Randy Savage,11,Crush,04:38,1
12,Jeff Jarrett,10,Randy Savage,01:19,0
13,Crush,16,Bam Bam Bigelow;Bret Hart;Lex Luger;Thurman "Sparky" Plugg,25:03,3
14,Doink the Clown,12,Bam Bam Bigelow,01:48,0
15,Bam Bam Bigelow,23,Lex Luger,30:12,5
16,Mabel,14,Bam Bam Bigelow;Crush;Great Kabuki;Greg Valentine;Shawn Michaels;Tatanka;Thurman "Sparky" Plugg,09:57,1
17,Thurman "Sparky" Plugg,17,Bret Hart;Shawn Michaels,21:33,3
18,Shawn Michaels,27,Lex Luger,29:17,4
19,Mo,21,Fatu,22:46,0
20,Greg Valentine,18,Rick Martel,20:39,1
21,Tatanka,22,Bam Bam Bigelow,20:07,2
22,The Great Kabuki,15,Lex Luger,02:46,1
23,Lex Luger,-,Winner,21:58,6
24,Genichiro Tenryu,25,Bret Hart;Lex Luger,17:21,0
25,Bastion Booger,-,(Never Entered),00:00,0
26,Rick Martel,19,Tatanka,11:22,1
27,Bret Hart,-,Winner,15:08,4
28,Fatu,26,Bret Hart,13:04,1
29,Marty Jannetty,24,Shawn Michaels,08:18,0
30,Adam Bomb,20,Lex Luger,04:55,0
