Draw,Entrant,Order,Eliminated by,Time,Eliminations
1,Ted DiBiase,18,The Ultimate Warrior,44:47,3
2,Koko B. Ware,1,Ted DiBiase,01:36,0
3,Marty Jannetty,2,Ted DiBiase,01:35,0
4,Jake Roberts,3,Randy Savage,10:03,0
5,Randy Savage,4,Dusty Rhodes,10:10,1
6,Roddy Piper,7,Bad News Brown,12:20,1
7,The Warlord,5,André the Giant,08:16,0
8,Bret Hart,9,Dusty Rhodes,16:16,0
9,Bad News Brown,6,Roddy Piper,06:04,1
10,Dusty Rhodes,12,The Canadian Earthquake,18:18,2
11,André the Giant,10,Ax & Smash,10:16,2
12,The Red Rooster,8,André the Giant,01:58,0
13,Ax,13,The Canadian Earthquake,12:50,1
14,Haku,20,Hulk Hogan,22:31,2
15,Smash,16,Haku,15:01,2
16,Akeem,11,Jimmy Snuka,02:31,0
17,Jimmy Snuka,19,Hulk Hogan,17:03,2
18,Dino Bravo,15,The Ultimate Warrior,06:13,0
19,The Canadian Earthquake,14,Jim Neidhart;Haku;Smash;Jimmy Snuka;Ted DiBiase;Dino Bravo",02:31,2
20,Jim Neidhart,17,The Ultimate Warrior;Rick Martel,08:42,1
21,The Ultimate Warrior,25,Hulk Hogan;The Barbarian;Rick Rude,14:29,6
22,Rick Martel,24,The Ultimate Warrior,08:14,2
23,Tito Santana,21,The Ultimate Warrior;Rick Martel,05:09,0
24,The Honky Tonk Man,22,Hulk Hogan,04:01,0
25,Hulk Hogan,-,Winner,12:49,6
26,Shawn Michaels,23,The Ultimate Warrior,00:12,0
27,The Barbarian,26,Hercules,05:47,1
28,Rick Rude,28,Hulk Hogan;Mr. Perfect,06:29,2
29,Hercules,27,Rick Rude,03:02,1
30,Mr. Perfect,29,Hulk Hogan,03:32,1
